date,pnl,trades,wins,losses,volume,fees,win_rate,avg_pnl,profit_factor
2025-09-07,0.0,387,0,387,0.0,0.0,0.0,0.0,
2025-09-08,0.0,380,0,380,0.0,0.0,0.0,0.0,
