id,symbol,entry_price,exit_price,size,direction,pnl,net_pnl,fees,slippage,roi,position_value,duration,timestamp,entry_time,exit_time
1,UNKNOWN,0.0,21378.62,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:29:24.898899,2025-09-04 09:29:24.898899,2025-09-04 09:29:24.898899
2,UNKNOWN,0.0,21378.62,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:30:31.526630,2025-09-04 09:30:31.526630,2025-09-04 09:30:31.526630
3,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:31:37.638689,2025-09-04 09:31:37.638689,2025-09-04 09:31:37.638689
4,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:32:44.261881,2025-09-04 09:32:44.261881,2025-09-04 09:32:44.261881
5,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:33:50.364480,2025-09-04 09:33:50.364480,2025-09-04 09:33:50.364480
6,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:34:56.453873,2025-09-04 09:34:56.453873,2025-09-04 09:34:56.453873
7,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:36:02.549194,2025-09-04 09:36:02.549194,2025-09-04 09:36:02.549194
8,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:37:09.200450,2025-09-04 09:37:09.200450,2025-09-04 09:37:09.200450
9,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:38:15.304627,2025-09-04 09:38:15.304627,2025-09-04 09:38:15.304627
10,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:39:21.932269,2025-09-04 09:39:21.932269,2025-09-04 09:39:21.932269
11,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:40:28.019868,2025-09-04 09:40:28.019868,2025-09-04 09:40:28.019868
12,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:41:34.643751,2025-09-04 09:41:34.643751,2025-09-04 09:41:34.643751
13,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:42:40.725944,2025-09-04 09:42:40.725944,2025-09-04 09:42:40.725944
14,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:43:46.815055,2025-09-04 09:43:46.815055,2025-09-04 09:43:46.815055
15,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:44:52.892612,2025-09-04 09:44:52.892612,2025-09-04 09:44:52.892612
16,UNKNOWN,0.0,21356.86,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-04 09:45:58.970293,2025-09-04 09:45:58.970293,2025-09-04 09:45:58.970293
