date,pnl,trades,wins,losses,volume,fees,win_rate,avg_pnl,profit_factor
2025-09-02,0.0,69,0,69,0.0,0.0,0.0,0.0,
2025-09-03,0.0,56,0,56,0.0,0.0,0.0,0.0,
