id,symbol,entry_price,exit_price,size,direction,pnl,net_pnl,fees,slippage,roi,position_value,duration,timestamp,entry_time,exit_time
1,UNKNOWN,0.0,9954.15,0.001,BUY,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-17 12:17:06.150731,2025-09-17 12:17:06.150731,2025-09-17 12:17:06.150731
2,UNKNOWN,0.0,9954.15,0.001,BUY,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-17 12:18:12.129181,2025-09-17 12:18:12.129181,2025-09-17 12:18:12.129181
3,UNKNOWN,0.0,9954.15,0.001,BUY,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-17 12:19:18.683831,2025-09-17 12:19:18.683831,2025-09-17 12:19:18.683831
