id,symbol,entry_price,exit_price,size,direction,pnl,net_pnl,fees,slippage,roi,position_value,duration,timestamp,entry_time,exit_time
1,UNKNOWN,0.0,531123.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 18:57:30.374632,2025-09-06 18:57:30.374632,2025-09-06 18:57:30.374632
2,UNKNOWN,0.0,540421.5,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 18:59:42.544519,2025-09-06 18:59:42.544519,2025-09-06 18:59:42.544519
3,UNKNOWN,0.0,540313.4,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:00:48.630409,2025-09-06 19:00:48.630409,2025-09-06 19:00:48.630409
4,UNKNOWN,0.0,534750.9,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:01:54.685885,2025-09-06 19:01:54.685885,2025-09-06 19:01:54.685885
5,UNKNOWN,0.0,528346.6,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:03:00.740903,2025-09-06 19:03:00.740903,2025-09-06 19:03:00.740903
6,UNKNOWN,0.0,527239.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:04:06.937818,2025-09-06 19:04:06.937818,2025-09-06 19:04:06.937818
7,UNKNOWN,0.0,539747.4,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:05:13.148026,2025-09-06 19:05:13.148026,2025-09-06 19:05:13.148026
8,UNKNOWN,0.0,547201.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:06:19.196425,2025-09-06 19:06:19.196425,2025-09-06 19:06:19.196425
9,UNKNOWN,0.0,535893.5,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:07:25.252669,2025-09-06 19:07:25.252669,2025-09-06 19:07:25.252669
10,UNKNOWN,0.0,533980.4,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:08:31.299274,2025-09-06 19:08:31.299274,2025-09-06 19:08:31.299274
11,UNKNOWN,0.0,533713.5,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:09:37.507514,2025-09-06 19:09:37.507514,2025-09-06 19:09:37.507514
12,UNKNOWN,0.0,543441.5,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:10:43.564081,2025-09-06 19:10:43.564081,2025-09-06 19:10:43.564081
13,UNKNOWN,0.0,541675.0,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:11:49.617273,2025-09-06 19:11:49.617273,2025-09-06 19:11:49.617273
14,UNKNOWN,0.0,530788.4,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:12:55.671733,2025-09-06 19:12:55.671733,2025-09-06 19:12:55.671733
15,UNKNOWN,0.0,530788.4,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:14:01.723829,2025-09-06 19:14:01.723829,2025-09-06 19:14:01.723829
16,UNKNOWN,0.0,536096.2,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:15:07.767676,2025-09-06 19:15:07.767676,2025-09-06 19:15:07.767676
17,UNKNOWN,0.0,536096.2,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:16:13.813815,2025-09-06 19:16:13.813815,2025-09-06 19:16:13.813815
18,UNKNOWN,0.0,536096.2,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:17:19.881294,2025-09-06 19:17:19.881294,2025-09-06 19:17:19.881294
19,UNKNOWN,0.0,536096.2,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:18:25.939724,2025-09-06 19:18:25.939724,2025-09-06 19:18:25.939724
20,UNKNOWN,0.0,536096.2,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:19:32.145752,2025-09-06 19:19:32.145752,2025-09-06 19:19:32.145752
21,UNKNOWN,0.0,541457.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:20:38.183724,2025-09-06 19:20:38.183724,2025-09-06 19:20:38.183724
22,UNKNOWN,0.0,541457.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:21:44.233000,2025-09-06 19:21:44.233000,2025-09-06 19:21:44.233000
23,UNKNOWN,0.0,541457.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:22:50.278214,2025-09-06 19:22:50.278214,2025-09-06 19:22:50.278214
24,UNKNOWN,0.0,541457.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:23:56.321483,2025-09-06 19:23:56.321483,2025-09-06 19:23:56.321483
25,UNKNOWN,0.0,541457.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:25:02.368106,2025-09-06 19:25:02.368106,2025-09-06 19:25:02.368106
26,UNKNOWN,0.0,541402.9,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:26:08.414716,2025-09-06 19:26:08.414716,2025-09-06 19:26:08.414716
27,UNKNOWN,0.0,541402.9,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:27:14.462238,2025-09-06 19:27:14.462238,2025-09-06 19:27:14.462238
28,UNKNOWN,0.0,541402.9,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:28:20.507335,2025-09-06 19:28:20.507335,2025-09-06 19:28:20.507335
29,UNKNOWN,0.0,541402.9,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:29:26.573256,2025-09-06 19:29:26.573256,2025-09-06 19:29:26.573256
30,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:30:32.629341,2025-09-06 19:30:32.629341,2025-09-06 19:30:32.629341
31,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:31:38.697601,2025-09-06 19:31:38.697601,2025-09-06 19:31:38.697601
32,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:32:44.830578,2025-09-06 19:32:44.830578,2025-09-06 19:32:44.830578
33,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:33:50.885249,2025-09-06 19:33:50.885249,2025-09-06 19:33:50.885249
34,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:34:56.929241,2025-09-06 19:34:56.929241,2025-09-06 19:34:56.929241
35,UNKNOWN,0.0,541348.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:36:03.053251,2025-09-06 19:36:03.053251,2025-09-06 19:36:03.053251
36,UNKNOWN,0.0,535723.8,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:37:09.104368,2025-09-06 19:37:09.104368,2025-09-06 19:37:09.104368
37,UNKNOWN,0.0,546437.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:38:15.154381,2025-09-06 19:38:15.154381,2025-09-06 19:38:15.154381
38,UNKNOWN,0.0,547146.3,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 19:39:21.206936,2025-09-06 19:39:21.206936,2025-09-06 19:39:21.206936
39,UNKNOWN,0.0,539461.7,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 21:30:35.357579,2025-09-06 21:30:35.357579,2025-09-06 21:30:35.357579
40,UNKNOWN,0.0,533944.7,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 21:34:59.606091,2025-09-06 21:34:59.606091,2025-09-06 21:34:59.606091
41,UNKNOWN,0.0,532823.5,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 21:36:05.656297,2025-09-06 21:36:05.656297,2025-09-06 21:36:05.656297
42,UNKNOWN,0.0,535474.6,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 21:37:11.714688,2025-09-06 21:37:11.714688,2025-09-06 21:37:11.714688
43,UNKNOWN,0.0,538027.1,0.001,SELL,0.0,0.0,0.0,0.0,0,0.0,0 days,2025-09-06 21:38:17.841060,2025-09-06 21:38:17.841060,2025-09-06 21:38:17.841060
